WellReport,TypeOfWork,ProposedUs,OwnerName2,County2,WellAddres,CoordDDLat,CoordDDLon,GridNumber,DrillingSt,DrillingEn,Year,BoreholeDe,DrillerSig,DrillerCom,LicenseNum,PluggingRe
395042,New Well,Industrial,Allen Keller Co.,Kimble,"360 Low Lonesome Rd., Junction, 76849",30.554723,-99.881667,56-25-6,4/9/2015,4/21/2015,2015,200,Jim Blair,"Bee Cave Drilling, Inc.",54416,
266781,New Well,Industrial,Frost Crushed Stone,Kimble,"Noerth of Clint Smith off of Hwy 1674 on the left, 76849",30.524444,-100.015278,55-32-9,9/15/2011,9/15/2011,2011,40,Charles E McGuire,McGuire Well Service,1652,
41205,New Well,Industrial,National Gypsum,Kimble,"5.2 mi. N/E of FM 385 on CR 433;  Well on hill at mine,",30.470555,-99.326111,56-38-2,7/20/2004,7/20/2004,2004,230,James Taylor Virdell Jr,Virdell Drilling Inc.,1900,
176762,New Well,Industrial,Erna Frac Sand Co.,Mason,,30.747222,-99.478333,56-21-1,4/21/2009,4/29/2009,2009,1000,Chris Lange,Lange Drilling Co.,54577,
157781,New Well,Industrial,Kinder Morgan Inc.,Mason,"1.9 mi. N of Gillespie Co. line on FM 783;  300' W on pad,",30.523611,-99.1375,56-31-9,10/28/2008,10/28/2008,2008,420,James Taylor Virdell Jr,Virdell Drilling Inc.,1900,
1368,New Well,Industrial,Lee McMillan,Mason,".3 mi. N from City Square on Hwy. 87;  200' W on lot;  (for Laser Car Wash),",30.752223,-99.24,56-15-7,7/3/2001,7/3/2001,2001,80,Lynn R Hoy,Virdell Drilling Inc.,4071,
9903,New Well,Industrial,ADAMS RESOURCES,Schleicher,"HWY 277 16 MILES N., CHRISTOVAL, 76936",30.973611,-100.574444,55-04-2,6/11/2002,6/13/2002,2002,390,Clark Abel,CURTIS-ABEL DRILLING,2972,7230
8246,New Well,Industrial,TXP INC,Schleicher,"UNIVERSITY LEASE, ELDORADO, 76936",31.063334,-100.854723,43-58-4,5/24/2002,5/28/2002,2002,503,Clark Abel,CURTIS-ABEL DRILLING,2972,
558395,New Well,Industrial,R.E.S.,McCulloch,"N W Sec 1360, Melvin, 76858",31.23485,-99.445883,42-53-2,4/20/2017,5/7/2017,2017,3300,Neil Tinsley,TINSLEY DEL & CO INC,53630,
418039,Deepening,Industrial,Premier Silica,McCulloch,"Voca North Well, Voca,",30.994167,-99.161111,56-07-3,3/22/2016,3/22/2016,2016,185,James C Virdell,Virdell Drilling Inc.,59342,
418038,New Well,Industrial,Premier Silica,McCulloch,"Voca North Well, Voca,",30.951389,-99.277222,56-06-6,3/21/2016,3/22/2016,2016,180,James C Virdell,Virdell Drilling Inc.,59342,
365174,New Well,Industrial,Premier Silica,McCulloch,"1.4 mi. W of Hwy. 71 on FM 3293;  .4 mi. N/E of plant,",30.993889,-99.171111,56-07-2,6/4/2014,6/5/2014,2014,155,James C Virdell,Virdell Drilling Inc.,59342,
12730,New Well,Industrial,Unimin Corp.,McCulloch,"Well at plant 100' S of loading dock,",30.999722,-99.154723,56-07-3,10/3/2002,10/3/2002,2002,210,James Taylor Virdell Jr,Virdell Drilling Inc.,1900,
491971,New Well,Industrial,triple crown resources,Irion,"bill shaw ranch 13 miles west mertzon tx off hwy 2469, mertzon, 76941",31.285556,-100.990833,43-41-7,9/27/2018,9/27/2018,2018,400,Courtney Woehl,woehl drilling no2,4900,
430525,New Well,Industrial,rocker b ranch,Irion,"8.5 miles from rocker b entrance 8.5 miles from rocker b entrance, barnhart, 76930",31.375833,-101.203056,44-39-8,8/25/2016,8/25/2016,2016,395,Courtney Woehl,woehl drilling no2,4900,
430524,New Well,Industrial,rocker b ranch,Irion,"7 miles from rocker b entrance 7 miles from rocker b ranch entrance, barnhart, 76930",31.386389,-101.224167,44-39-7,8/24/2016,8/24/2016,2016,455,Courtney Woehl,woehl drilling no2,4900,
389611,New Well,Industrial,Centurion Pipeline,Irion,"Barnhart,",31.274167,-101.162223,44-47-9,8/29/2014,8/29/2014,2014,300,John B Steward,"Wildcat Services, LLC",59400,
384294,New Well,Industrial,beaver mcmanus,Irion,"17 miles north west mertzon, mertzon, 76941",31.474167,-100.942222,43-33-2,12/18/2014,12/18/2014,2014,215,Courtney Woehl,woehl drilling no2,4900,
378551,New Well,Industrial,R.L.Signor Barnhart LLC,Irion,"Old Cemetery Road, Barnhart, 76930",31.131389,-101.146667,44-55-9,5/12/2014,5/16/2014,2014,400,Bobby R Wilson,Caltex Water LLC,58462,
361503,New Well,Industrial,gary tankersley,Irion,"tankersley ranch on 915, mertzon, 76941",31.156389,-100.82,43-50-8,5/1/2014,5/1/2014,2014,400,Courtney Woehl,woehl drilling no2,4900,
353982,New Well,Industrial,sherman monk,Irion,"sherman monk ranch west mertzon tx, mertzon, 76941",31.151667,-100.833334,43-50-7,1/20/2014,1/20/2014,2014,480,Courtney Woehl,woehl drilling no2,4900,
336121,New Well,Industrial,rocker b ranch,Irion,"4.5 miles south headquarters, barnhart, 76941",31.228611,-101.269444,44-54-3,8/12/2013,8/12/2013,2013,620,Courtney Woehl,woehl drilling no2,4900,
336120,New Well,Industrial,rocker b ranch,Irion,"4 miles south headquarters, barnhart, 76941",31.229444,-101.252223,44-54-3,8/9/2013,8/9/2013,2013,500,Courtney Woehl,woehl drilling no2,4900,
336119,New Well,Industrial,rocker b ranch,Irion,"3 miles south headquarters, barnhart, 76941",31.229167,-101.244722,44-55-1,8/6/2013,8/6/2013,2013,500,Courtney Woehl,woehl drilling no2,4900,
336118,New Well,Industrial,rocker b ranch,Irion,"4 miles nw headquarters, barnhart, 76941",31.332222,-101.257501,44-46-6,8/3/2013,8/3/2013,2013,400,Courtney Woehl,woehl drilling no2,4900,
336117,New Well,Industrial,rocker b ranch,Irion,"3 miles nw head quarters, barnhart, 76941",31.303612,-101.262501,44-46-6,8/1/2013,8/1/2013,2013,440,Courtney Woehl,woehl drilling no2,4900,
322076,New Well,Industrial,Patrick Halfmann,Irion,".2 mi. E SH 163 & .3 mi. N US 67, Mertzon,",31.132222,-101.172222,44-55-8,4/1/2013,4/8/2013,2013,815,Stan Latzel,Latzel Drilling Inc.,5017,
318383,New Well,Industrial,munson ranch,Irion,"20 miles west mertzon hwy67, mertzon, 76941",31.154167,-101.100834,44-56-7,5/7/2013,5/7/2013,2013,635,Courtney Woehl,woehl drilling no2,4900,
318382,New Well,Industrial,munson ranch,Irion,"20 miles west mertzon hwy67, mertzon, 76941",31.155834,-101.099445,44-56-7,5/6/2013,5/6/2013,2013,635,Courtney Woehl,woehl drilling no2,4900,
318381,Deepening,Industrial,munson ranch,Irion,"20 miles west mertzon hwy67, mertzon, 76941",31.159167,-101.098889,44-56-7,4/29/2013,4/29/2013,2013,640,Courtney Woehl,woehl drilling no2,4900,
318380,New Well,Industrial,billy tankersley,Irion,"2 miles south west mertzon tx, mertzon, 76941",31.214723,-100.8375,43-50-1,5/10/2013,5/10/2013,2013,400,Courtney Woehl,woehl drilling no2,4900,
318379,New Well,Industrial,billy tankersley,Irion,"2 miles south west mertzon tx, mertzon, 76941",31.214723,-100.8375,43-50-1,5/10/2013,5/10/2013,2013,400,Courtney Woehl,woehl drilling no2,4900,
317775,New Well,Industrial,rocker b ranch,Irion,"pecan 1944, mertzon, 76941",31.428055,-101.199167,44-39-5,4/12/2013,4/12/2013,2013,260,Courtney Woehl,woehl drilling no2,4900,
317774,New Well,Industrial,rocker b ranch,Irion,"tee pee draw 3036 no2, mertzon, 76941",31.415001,-101.204167,44-39-8,4/11/2013,4/11/2013,2013,280,Courtney Woehl,woehl drilling no2,4900,
317773,New Well,Industrial,rocker b ranch,Irion,"concho 3004, mertzon, 76941",31.430555,-101.210278,44-39-4,4/10/2013,4/10/2013,2013,340,Courtney Woehl,woehl drilling no2,4900,
311245,New Well,Industrial,Mike Feele,Irion,"295 W Draper Barnhart, Mertzon,",31.1275,-101.176389,44-55-8,11/29/2012,12/4/2012,2012,800,Derek Latzel,Latzel Drilling Inc.,58962,
310541,New Well,Industrial,concho resourses illionois,Irion,"north 2469 0ff county rd 412, mertzon, 76941",31.363334,-100.963889,43-41-1,1/18/2013,1/18/2013,2013,140,Courtney Woehl,woehl drilling no2,4900,
310540,New Well,Industrial,concho resourses illionois,Irion,"north 2469 off rd 412, mertzon, 76941",31.362223,-100.961667,43-41-1,1/17/2013,1/17/2013,2013,160,Courtney Woehl,woehl drilling no2,4900,
308177,New Well,Industrial,concho resources,Irion,"farmer sugg well 214, mertzon, 76941",31.332778,-100.921389,43-41-5,12/17/2012,12/17/2012,2012,300,Courtney Woehl,woehl drilling no2,4900,
308175,New Well,Industrial,concho resources,Irion,"sugg 29-w-10, mertzon, 76941",31.456112,-100.945556,43-33-5,12/12/2012,12/12/2012,2012,180,Courtney Woehl,woehl drilling no2,4900,
306663,New Well,Industrial,tom carter,Irion,"12 miles west mertzon, mertzon, 76941",31.295278,-100.950001,43-41-5,11/7/2012,12/7/2012,2012,540,Courtney Woehl,woehl drilling  no 2,4900,
306661,New Well,Industrial,tom carter,Irion,"11 miles west mertzon, mertzon, 76941",31.307223,-100.951389,43-41-5,12/5/2012,12/5/2012,2012,625,Courtney Woehl,woehl drilling no 2,4900,
301950,New Well,Industrial,j-l ranch,Irion,"16 miles n barnhart, barnhart, 76930",31.343889,-101.150001,44-47-3,10/4/2012,10/4/2012,2012,400,Courtney Woehl,woehl drilling no2,4900,
