WellReport,TypeOfWork,ProposedUs,OwnerName2,County2,WellAddres,CoordDDLat,CoordDDLon,GridNumber,DrillingSt,DrillingEn,Year,BoreholeDe,DrillerSig,DrillerCom,LicenseNum,PluggingRe
"582117",New Well,Industrial,Williams Brothers Construction,Wharton,"Between CR 221 & CR 216, East Bernard, 77435",29.405183999999998,-96.031267000000000,66-40-9,6/23/2021,6/28/2021,"2021",226.000000000000000,Craig O Bussell,Bussell & sons LLC,"2035",
"558015",New Well,Industrial,United Ag Cooperative Inc,Wharton,"1500-1506, El Campo, 77437",29.147200000000002,-96.327200000000005,66-54-8,10/19/2020,10/20/2020,"2020",168.000000000000000,DUSTIN KIGHT,Kight Water Well Service,"60579",
"547125",New Well,Industrial,Zachry Construction C/O Joe Wilson,Colorado,"4818 Highway 90A, Eagle Lake, 77434",29.582500000000000,-96.413799999999995,66-29-6,6/11/2020,6/12/2020,"2020",105.000000000000000,BRYAN ELLIOTT NEUENDORFF,NEUENDORFF'S WATER WELL SERVICE INC,"60140",
"547123",New Well,Industrial,Kinder Morgan,Colorado,"1650 Cr 255, Sheridan, 77475",29.471071999999999,-96.631781000000004,66-35-3,6/9/2020,6/10/2020,"2020",138.000000000000000,BRYAN ELLIOTT NEUENDORFF,NEUENDORFF'S WATER WELL SERVICE INC,"60140",
"544940",New Well,Industrial,Lower River Colorado Authority,Wharton,"19391 C, Lane City, 77488",29.185289000000001,-96.047300000000007,66-56-5,1/16/2020,1/19/2020,"2020",41.920000000000002,JAMES ALLEN PARKER,HYDRO RESOURCES-MID CONTINENT INC,"60461",
"544939",New Well,Industrial,Lower River Colorado Authority,Wharton,"19391 Co Rd. 116, Lane City, 77488",29.185320999999998,-96.047241999999997,66-56-5,1/19/2020,1/21/2020,"2020",70.000000000000000,JAMES ALLEN PARKER,HYDRO RESOURCES-MID CONTINENT INC,"60461",
"544938",New Well,Industrial,Lower River Colorado Authority,Wharton,"19391 Co Rd 116, Lane City, 77488",29.185409000000000,-96.051157000000003,66-56-5,1/27/2020,1/28/2020,"2020",108.000000000000000,JAMES ALLEN PARKER,HYDRO RESOURCES-MID CONTINENT INC,"60461",
"544937",New Well,Industrial,Lower River Colorado Authority,Wharton,"19391 Co Rd. 116, Lane City, 77488",29.185348000000001,-96.063856999999999,66-56-5,1/24/2020,1/25/2020,"2020",114.000000000000000,JAMES ALLEN PARKER,HYDRO RESOURCES-MID CONTINENT INC,"60461",
"544934",New Well,Industrial,Lower River Colorado Authority,Wharton,"19391 Co Rd 116, Lane City, 77488",29.198519999999998,-96.056391000000005,66-56-5,2/4/2020,2/5/2020,"2020",85.000000000000000,JAMES ALLEN PARKER,HYDRO RESOURCES-MID CONTINENT INC,"60461",
"544933",New Well,Industrial,Lower River Colorado Authority,Wharton,"19391 Co Rd 116, Lane City, 77488",29.185372000000001,-96.051111000000006,66-56-5,1/29/2020,1/30/2020,"2020",70.000000000000000,JAMES ALLEN PARKER,HYDRO RESOURCES-MID CONTINENT INC,"60461",
"544930",New Well,Industrial,Lower River Colorado Authority,Wharton,"19391 Co.Rd 116, Lane City, 77488",29.185362999999999,-96.051216999999994,66-56-5,1/31/2020,2/1/2020,"2020",155.000000000000000,Randal James Taylor,Hydro Resources Mid Continent Inc.,"2366",
"543534",New Well,Industrial,WBCCI,Wharton,"FM 1161 & HWY 59, Hunger ford,",29.392472000000001,-96.075528000000006,66-40-8,4/6/2020,4/7/2020,"2020",242.000000000000000,Travis J Otto,1st Choice Water Wells,"58473",
"536178",New Well,Industrial,Matagorda Concrete/Bradley Sitz,Matagorda,"1900 FM 3156 Matagorda Concrete, Bay City, 77414",29.016110999999999,-95.973611000000005,65-57-7,2/17/2020,2/18/2020,"2020",399.000000000000000,David Eric Branch,"Felder Water Well & Pump Service, LLC","56029",
"521155",Replacement,Industrial,Martin Marietta,Colorado,"6747 HWY 71, Garwood, 77442",29.521667000000001,-96.416111000000001,66-29-9,6/4/2019,6/6/2019,"2019",90.000000000000000,Scott G Robinson,Scott Drilling Inc.,"4839",
"496984",New Well,Industrial,Florida Gas Transmission,Matagorda,"6660 FM 1728 Progressive Pipeline 
Energy Transfer - Kyle Colson, Pledger, 77420",29.145000000000000,-95.891943999999995,65-49-9,11/5/2018,11/29/2018,"2018",140.000000000000000,David Eric Branch,"Felder Water Well & Pump Service, LLC","56029",
"490614",New Well,Industrial,TRANSCONTINENTAL GAS PIPELINE CO LLC,Wharton,"1612 CR 211, WHARTON, 77488",29.418099999999999,-96.151700000000005,66-39-6,9/1/2018,9/5/2018,"2018",165.000000000000000,Ryan Heath Goolsby,Goolsby Water Well Service LLC,"5002",
